,target,text,num_characters,num_words,num_sentences,transformed_text,word_tokenize,pos,verbs,adjectives,nouns
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,28,2,gon na home soon want talk stuff anymor tonight k cri enough today,"['gon', 'na', 'home', 'soon', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'cri', 'enough', 'today']","[('gon', 'NN'), ('na', 'TO'), ('home', 'NN'), ('soon', 'RB'), ('want', 'JJ'), ('talk', 'NN'), ('stuff', 'NN'), ('anymor', 'NN'), ('tonight', 'VBD'), ('k', 'JJ'), ('cri', 'NN'), ('enough', 'JJ'), ('today', 'NN')]",['tonight'],"['want', 'k', 'enough']","['gon', 'home', 'talk', 'stuff', 'anymor', 'cri', 'today']"
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,31,3,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info,"['six', 'chanc', 'win', 'cash', '100', 'pound', 'txt', 'csh11', 'send', 'cost', '6day', 'tsandc', 'appli', 'repli', 'hl', '4', 'info']","[('six', 'CD'), ('chanc', 'NN'), ('win', 'VB'), ('cash', 'NN'), ('100', 'CD'), ('pound', 'NN'), ('txt', 'NN'), ('csh11', 'JJ'), ('send', 'NN'), ('cost', 'NN'), ('6day', 'CD'), ('tsandc', 'NN'), ('appli', 'NN'), ('repli', 'NN'), ('hl', 'VBD'), ('4', 'CD'), ('info', 'NN')]","['win', 'hl']",['csh11'],"['chanc', 'cash', 'pound', 'txt', 'send', 'cost', 'tsandc', 'appli', 'repli', 'info']"
12,spam,"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,32,3,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18,"['urgent', '1', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'c', 'lccltd', 'pobox', '4403ldnw1a7rw18']","[('urgent', 'JJ'), ('1', 'CD'), ('week', 'NN'), ('free', 'JJ'), ('membership', 'NN'), ('prize', 'VB'), ('jackpot', 'NN'), ('txt', 'NN'), ('word', 'NN'), ('claim', 'NN'), ('81010', 'CD'), ('c', 'NN'), ('lccltd', 'NN'), ('pobox', 'NN'), ('4403ldnw1a7rw18', 'CD')]",['prize'],"['urgent', 'free']","['week', 'membership', 'jackpot', 'txt', 'word', 'claim', 'c', 'lccltd', 'pobox']"
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,41,3,search right word thank breather promis wont take help grant fulfil promis wonder bless time,"['search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']","[('search', 'NN'), ('right', 'NN'), ('word', 'NN'), ('thank', 'IN'), ('breather', 'NN'), ('promis', 'NN'), ('wont', 'NN'), ('take', 'VB'), ('help', 'NN'), ('grant', 'VB'), ('fulfil', 'JJ'), ('promis', 'NN'), ('wonder', 'NN'), ('bless', 'NN'), ('time', 'NN')]","['take', 'grant']",['fulfil'],"['search', 'right', 'word', 'breather', 'promis', 'wont', 'help', 'promis', 'wonder', 'bless', 'time']"
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,10,2,date sunday,"['date', 'sunday']","[('date', 'NN'), ('sunday', 'NN')]",[],[],"['date', 'sunday']"
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,28,2,xxxmobilemovieclub use credit click wap link next txt messag click http,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'http']","[('xxxmobilemovieclub', 'NN'), ('use', 'NN'), ('credit', 'NN'), ('click', 'NN'), ('wap', 'NN'), ('link', 'VBP'), ('next', 'JJ'), ('txt', 'NN'), ('messag', 'NN'), ('click', 'NN'), ('http', 'NN')]",['link'],['next'],"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'txt', 'messag', 'click', 'http']"
16,ham,Oh k...i'm watching here:),26,9,1,oh k watch,"['oh', 'k', 'watch']","[('oh', 'JJ'), ('k', 'NN'), ('watch', 'NN')]",[],['oh'],"['k', 'watch']"
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,22,3,eh u rememb 2 spell name ye v naughti make v wet,"['eh', 'u', 'rememb', '2', 'spell', 'name', 'ye', 'v', 'naughti', 'make', 'v', 'wet']","[('eh', 'NN'), ('u', 'JJ'), ('rememb', 'NN'), ('2', 'CD'), ('spell', 'NN'), ('name', 'NN'), ('ye', 'NNP'), ('v', 'NN'), ('naughti', 'NNS'), ('make', 'VBP'), ('v', 'NN'), ('wet', 'NN')]",['make'],['u'],"['eh', 'rememb', 'spell', 'name', 'ye', 'v', 'naughti', 'v', 'wet']"
18,ham,Fine if that��s the way u feel. That��s the way its gota b,58,14,2,fine way u feel way gota b,"['fine', 'way', 'u', 'feel', 'way', 'gota', 'b']","[('fine', 'JJ'), ('way', 'NN'), ('u', 'JJ'), ('feel', 'VB'), ('way', 'NN'), ('gota', 'NN'), ('b', 'NN')]",['feel'],"['fine', 'u']","['way', 'way', 'gota', 'b']"
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/̼1.20 POBOXox36504W45WQ 16+",155,28,2,england v macedonia dont miss news txt ur nation team 87077 eg england 87077 tri wale scotland poboxox36504w45wq,"['england', 'v', 'macedonia', 'dont', 'miss', 'news', 'txt', 'ur', 'nation', 'team', '87077', 'eg', 'england', '87077', 'tri', 'wale', 'scotland', 'poboxox36504w45wq']","[('england', 'NN'), ('v', 'NN'), ('macedonia', 'NN'), ('dont', 'NN'), ('miss', 'JJ'), ('news', 'NN'), ('txt', 'NN'), ('ur', 'JJ'), ('nation', 'NN'), ('team', 'NN'), ('87077', 'CD'), ('eg', 'NN'), ('england', 'NN'), ('87077', 'CD'), ('tri', 'JJ'), ('wale', 'JJ'), ('scotland', 'NN'), ('poboxox36504w45wq', 'NN')]",[],"['miss', 'ur', 'tri', 'wale']","['england', 'v', 'macedonia', 'dont', 'news', 'txt', 'nation', 'team', 'eg', 'england', 'scotland', 'poboxox36504w45wq']"
20,ham,Is that seriously how you spell his name?,41,9,1,serious spell name,"['serious', 'spell', 'name']","[('serious', 'JJ'), ('spell', 'NN'), ('name', 'NN')]",[],['serious'],"['spell', 'name']"
21,ham,I���m going to try for 2 months ha ha only joking,49,11,1,go tri 2 month ha ha joke,"['go', 'tri', '2', 'month', 'ha', 'ha', 'joke']","[('go', 'VB'), ('tri', 'JJ'), ('2', 'CD'), ('month', 'NN'), ('ha', 'NN'), ('ha', 'NN'), ('joke', 'NN')]",['go'],['tri'],"['month', 'ha', 'ha', 'joke']"
22,ham,So �_ pay first lar... Then when is da stock comin...,53,13,1,pay first lar da stock comin,"['pay', 'first', 'lar', 'da', 'stock', 'comin']","[('pay', 'NN'), ('first', 'RB'), ('lar', 'JJ'), ('da', 'NN'), ('stock', 'NN'), ('comin', 'NN')]",[],['lar'],"['pay', 'da', 'stock', 'comin']"
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,23,3,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']","[('aft', 'NN'), ('finish', 'NN'), ('lunch', 'NN'), ('go', 'VBP'), ('str', 'JJ'), ('lor', 'NN'), ('ard', 'RB'), ('3', 'CD'), ('smth', 'JJ'), ('lor', 'NN'), ('u', 'JJ'), ('finish', 'JJ'), ('ur', 'NN'), ('lunch', 'NN'), ('alreadi', 'NN')]",['go'],"['str', 'smth', 'u', 'finish']","['aft', 'finish', 'lunch', 'lor', 'lor', 'ur', 'lunch', 'alreadi']"
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,13,2,ffffffffff alright way meet sooner,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']","[('ffffffffff', 'NNS'), ('alright', 'VBD'), ('way', 'NN'), ('meet', 'NN'), ('sooner', 'NN')]",['alright'],[],"['ffffffffff', 'way', 'meet', 'sooner']"
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,35,6,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,"['forc', 'eat', 'slice', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'sick', 'turn', 'pizza', 'lol']","[('forc', 'JJ'), ('eat', 'NN'), ('slice', 'NN'), ('realli', 'NN'), ('hungri', 'NN'), ('tho', 'NN'), ('suck', 'VBD'), ('mark', 'JJ'), ('get', 'NN'), ('worri', 'NN'), ('know', 'VBP'), ('sick', 'JJ'), ('turn', 'VBP'), ('pizza', 'JJ'), ('lol', 'NN')]","['suck', 'know', 'turn']","['forc', 'mark', 'sick', 'pizza']","['eat', 'slice', 'realli', 'hungri', 'tho', 'get', 'worri', 'lol']"
26,ham,Lol your always so convincing.,30,6,1,lol alway convinc,"['lol', 'alway', 'convinc']","[('lol', 'JJ'), ('alway', 'RB'), ('convinc', 'NN')]",[],['lol'],['convinc']
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,34,5,catch bu fri egg make tea eat mom left dinner feel love,"['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']","[('catch', 'NN'), ('bu', 'NN'), ('fri', 'NN'), ('egg', 'NN'), ('make', 'VBP'), ('tea', 'NN'), ('eat', 'NN'), ('mom', 'NN'), ('left', 'VBD'), ('dinner', 'NN'), ('feel', 'NN'), ('love', 'NN')]","['make', 'left']",[],"['catch', 'bu', 'fri', 'egg', 'tea', 'eat', 'mom', 'dinner', 'feel', 'love']"
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,22,1,back amp pack car let know room,"['back', 'amp', 'pack', 'car', 'let', 'know', 'room']","[('back', 'RB'), ('amp', 'JJ'), ('pack', 'NN'), ('car', 'NN'), ('let', 'NN'), ('know', 'VB'), ('room', 'NN')]",['know'],['amp'],"['pack', 'car', 'let', 'room']"
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,16,5,ahhh work vagu rememb feel like lol,"['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']","[('ahhh', 'JJ'), ('work', 'NN'), ('vagu', 'NN'), ('rememb', 'VBP'), ('feel', 'NN'), ('like', 'IN'), ('lol', 'NN')]",['rememb'],['ahhh'],"['work', 'vagu', 'feel', 'lol']"
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,30,1,wait still clear sure sarcast x want live us,"['wait', 'still', 'clear', 'sure', 'sarcast', 'x', 'want', 'live', 'us']","[('wait', 'NN'), ('still', 'RB'), ('clear', 'JJ'), ('sure', 'JJ'), ('sarcast', 'NN'), ('x', 'NNP'), ('want', 'VBP'), ('live', 'JJ'), ('us', 'PRP')]",['want'],"['clear', 'sure', 'live']","['wait', 'sarcast', 'x']"
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,48,6,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo go badli cheer,"['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wo', 'go', 'badli', 'cheer']","[('yeah', 'NN'), ('got', 'VBD'), ('2', 'CD'), ('v', 'NN'), ('apologet', 'NN'), ('n', 'JJ'), ('fallen', 'VBN'), ('actin', 'NNS'), ('like', 'IN'), ('spoilt', 'JJ'), ('child', 'NN'), ('got', 'VBD'), ('caught', 'VBN'), ('till', 'RB'), ('2', 'CD'), ('wo', 'MD'), ('go', 'VB'), ('badli', 'RB'), ('cheer', 'NN')]","['got', 'fallen', 'got', 'caught', 'go']","['n', 'spoilt']","['yeah', 'v', 'apologet', 'actin', 'child', 'cheer']"
32,ham,K tell me anything about you.,29,7,1,k tell anyth,"['k', 'tell', 'anyth']","[('k', 'NN'), ('tell', 'NN'), ('anyth', 'NN')]",[],[],"['k', 'tell', 'anyth']"
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,18,2,fear faint housework quick cuppa,"['fear', 'faint', 'housework', 'quick', 'cuppa']","[('fear', 'NN'), ('faint', 'NN'), ('housework', 'NN'), ('quick', 'JJ'), ('cuppa', 'NN')]",[],['quick'],"['fear', 'faint', 'housework', 'cuppa']"
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged �5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,158,30,2,thank subscript rington uk mobil charg pleas confirm repli ye repli charg,"['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'pleas', 'confirm', 'repli', 'ye', 'repli', 'charg']","[('thank', 'NN'), ('subscript', 'NN'), ('rington', 'NN'), ('uk', 'JJ'), ('mobil', 'NN'), ('charg', 'NN'), ('pleas', 'NNS'), ('confirm', 'VBP'), ('repli', 'NN'), ('ye', 'NN'), ('repli', 'NN'), ('charg', 'NN')]",['confirm'],['uk'],"['thank', 'subscript', 'rington', 'mobil', 'charg', 'pleas', 'repli', 'ye', 'repli', 'charg']"
35,ham,Yup... Ok i go home look at the timings then i msg �_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123,30,1,yup ok go home look time msg xuhui go learn 2nd may lesson 8am,"['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'xuhui', 'go', 'learn', '2nd', 'may', 'lesson', '8am']","[('yup', 'NN'), ('ok', 'NN'), ('go', 'VBP'), ('home', 'NN'), ('look', 'NN'), ('time', 'NN'), ('msg', 'NN'), ('xuhui', 'NNP'), ('go', 'VBP'), ('learn', 'JJ'), ('2nd', 'CD'), ('may', 'MD'), ('lesson', 'VB'), ('8am', 'CD')]","['go', 'go', 'lesson']",['learn'],"['yup', 'ok', 'home', 'look', 'time', 'msg', 'xuhui']"
36,ham,"Oops, I'll let you know when my roommate's done",47,12,1,oop let know roommat done,"['oop', 'let', 'know', 'roommat', 'done']","[('oop', 'JJ'), ('let', 'NN'), ('know', 'VB'), ('roommat', 'VB'), ('done', 'VBN')]","['know', 'roommat', 'done']",['oop'],['let']
37,ham,I see the letter B on my car,28,8,1,see letter b car,"['see', 'letter', 'b', 'car']","[('see', 'VB'), ('letter', 'NN'), ('b', 'NN'), ('car', 'NN')]",['see'],[],"['letter', 'b', 'car']"
38,ham,Anything lor... U decide...,27,6,1,anyth lor u decid,"['anyth', 'lor', 'u', 'decid']","[('anyth', 'JJ'), ('lor', 'NN'), ('u', 'JJ'), ('decid', 'NN')]",[],"['anyth', 'u']","['lor', 'decid']"
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,37,4,hello saturday go text see decid anyth tomo tri invit anyth,"['hello', 'saturday', 'go', 'text', 'see', 'decid', 'anyth', 'tomo', 'tri', 'invit', 'anyth']","[('hello', 'NN'), ('saturday', 'NN'), ('go', 'VBP'), ('text', 'JJ'), ('see', 'NN'), ('decid', 'JJ'), ('anyth', 'JJ'), ('tomo', 'NN'), ('tri', 'NN'), ('invit', 'NN'), ('anyth', 'NN')]",['go'],"['text', 'decid', 'anyth']","['hello', 'saturday', 'see', 'tomo', 'tri', 'invit', 'anyth']"
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,20,4,pl go ahead watt want sure great weekend abiola,"['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']","[('pl', 'NN'), ('go', 'VBP'), ('ahead', 'RB'), ('watt', 'VBP'), ('want', 'JJ'), ('sure', 'JJ'), ('great', 'JJ'), ('weekend', 'NN'), ('abiola', 'NN')]","['go', 'watt']","['want', 'sure', 'great']","['pl', 'weekend', 'abiola']"
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,35,4,forget tell want need crave love sweet arabian steed mmmmmm yummi,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']","[('forget', 'VB'), ('tell', 'NN'), ('want', 'VBP'), ('need', 'NN'), ('crave', 'VBP'), ('love', 'VB'), ('sweet', 'JJ'), ('arabian', 'JJ'), ('steed', 'NN'), ('mmmmmm', 'NNS'), ('yummi', 'VBP')]","['forget', 'want', 'crave', 'love', 'yummi']","['sweet', 'arabian']","['tell', 'need', 'steed', 'mmmmmm']"
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,34,2,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow,"['07732584351', 'rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sm', 'free', 'nokia', 'mobil', 'free', 'camcord', 'pleas', 'call', '08000930705', 'deliveri', 'tomorrow']","[('07732584351', 'CD'), ('rodger', 'NN'), ('burn', 'NN'), ('msg', 'NN'), ('tri', 'NN'), ('call', 'NN'), ('repli', 'NN'), ('sm', 'VBD'), ('free', 'JJ'), ('nokia', 'NNS'), ('mobil', 'VBP'), ('free', 'JJ'), ('camcord', 'NN'), ('pleas', 'NNS'), ('call', 'VBP'), ('08000930705', 'CD'), ('deliveri', 'NN'), ('tomorrow', 'NN')]","['sm', 'mobil', 'call']","['free', 'free']","['rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'nokia', 'camcord', 'pleas', 'deliveri', 'tomorrow']"
43,ham,WHO ARE YOU SEEING?,19,5,1,see,['see'],"[('see', 'VB')]",['see'],[],[]
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,22,3,great hope like man well endow lt gt inch,"['great', 'hope', 'like', 'man', 'well', 'endow', 'lt', 'gt', 'inch']","[('great', 'JJ'), ('hope', 'NN'), ('like', 'IN'), ('man', 'NN'), ('well', 'RB'), ('endow', 'RB'), ('lt', 'JJ'), ('gt', 'NN'), ('inch', 'NN')]",[],"['great', 'lt']","['hope', 'man', 'gt', 'inch']"
45,ham,No calls..messages..missed calls,32,7,1,call messag miss call,"['call', 'messag', 'miss', 'call']","[('call', 'NN'), ('messag', 'NN'), ('miss', 'NN'), ('call', 'NN')]",[],[],"['call', 'messag', 'miss', 'call']"
46,ham,Didn't you get hep b immunisation in nigeria.,45,10,1,get hep b immunis nigeria,"['get', 'hep', 'b', 'immunis', 'nigeria']","[('get', 'VB'), ('hep', 'NN'), ('b', 'NN'), ('immunis', 'NN'), ('nigeria', 'NN')]",['get'],[],"['hep', 'b', 'immunis', 'nigeria']"
47,ham,"Fair enough, anything going on?",31,7,1,fair enough anyth go,"['fair', 'enough', 'anyth', 'go']","[('fair', 'JJ'), ('enough', 'RB'), ('anyth', 'NN'), ('go', 'VB')]",['go'],['fair'],['anyth']
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,16,1,yeah hope tyler ca could mayb ask around bit,"['yeah', 'hope', 'tyler', 'ca', 'could', 'mayb', 'ask', 'around', 'bit']","[('yeah', 'NNS'), ('hope', 'VBP'), ('tyler', 'NN'), ('ca', 'MD'), ('could', 'MD'), ('mayb', 'VB'), ('ask', 'VB'), ('around', 'IN'), ('bit', 'NN')]","['hope', 'mayb', 'ask']",[],"['yeah', 'tyler', 'bit']"
